"R0000100","R0173600","R0214900","R0406300","R0618800","R0898500","R1144700","R1519900","R1890600","R2257700","R2445100","R2870600","R3074300","R3401000"
2314,1,1,1,1,1,1,1,1,1,1,1,1,1
2315,5,1,1,5,6,4,4,7,2,4,1,1,7
2316,1,1,1,1,1,1,1,1,1,1,2,1,1
2317,5,1,1,3,1,1,1,1,1,4,1,1,1
2318,1,1,1,1,3,1,1,1,1,1,1,1,1
2319,5,1,1,1,4,4,4,4,1,4,-5,4,4
2320,1,1,1,1,-5,-5,-5,-5,-5,-5,1,1,1
2321,5,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5
2322,5,1,1,1,1,1,1,1,1,1,1,1,1
2323,1,1,5,1,1,1,1,8,8,8,1,1,5
2324,5,1,5,1,1,1,1,1,1,2,1,1,1
2325,1,1,-5,-5,-5,-5,1,1,-5,-5,1,1,1
2326,1,3,3,3,3,5,3,2,1,1,1,1,1
2327,1,3,1,3,3,1,1,1,3,1,1,3,3
2328,5,1,5,7,1,1,1,1,1,1,1,1,1
2329,1,1,1,1,1,1,1,1,1,1,1,1,1
2330,1,3,1,1,3,1,1,1,1,1,1,1,1
2331,1,5,1,5,1,1,1,1,1,2,1,1,1
2332,1,3,1,5,1,1,5,5,1,-5,1,1,1
2333,5,1,1,1,1,1,1,1,1,1,1,1,1
2334,1,1,3,1,1,1,1,1,7,1,1,1,1
2335,1,1,1,1,1,1,1,1,1,1,1,1,1
2336,1,1,1,1,1,1,1,1,1,1,1,1,1
2337,5,1,1,5,5,5,1,1,1,1,1,1,1
2338,1,1,1,1,3,3,1,1,1,3,1,1,1
2339,5,1,5,5,5,1,1,1,1,1,1,1,1
2340,5,6,3,1,4,4,1,1,1,1,4,7,4
2341,1,1,1,1,1,1,1,1,1,1,1,1,1
2342,5,1,3,3,4,1,4,4,1,1,1,1,1
2343,1,1,1,1,1,3,3,1,1,1,2,1,2
2344,1,1,1,1,1,1,1,7,1,1,1,1,1
2345,1,1,3,5,8,7,1,1,2,1,1,3,1
2346,5,1,1,1,1,1,-5,1,1,1,1,-5,-5
2347,7,4,5,3,5,7,7,7,4,3,4,7,4
2348,7,5,-5,-5,1,1,1,1,4,6,1,4,7
2349,3,5,3,1,7,6,6,-5,-5,-5,-5,-5,-5
2350,7,1,1,1,5,2,1,1,3,1,1,1,1
2351,3,1,1,1,1,1,1,1,1,1,1,1,1
2352,3,1,1,3,1,1,3,3,1,1,3,3,1
2353,3,1,1,1,8,8,8,5,5,2,4,7,1
2354,3,1,1,1,3,7,1,1,1,1,1,1,3
2355,7,1,1,1,6,1,1,4,4,7,3,4,4
2356,7,5,5,3,3,1,3,1,1,7,1,4,4
2357,7,1,3,1,1,1,1,1,1,1,1,1,1
2358,7,1,-5,-5,3,3,1,4,4,-5,-5,3,7
2359,7,1,4,3,3,7,4,7,4,4,3,4,4
2360,7,4,7,3,1,1,3,1,4,3,7,1,3
2361,3,1,1,1,1,1,1,1,1,1,1,2,1
2362,7,1,6,1,1,1,1,1,1,1,1,1,4
2363,3,1,1,1,1,1,1,1,1,7,7,3,7
2364,7,1,-5,1,1,1,1,4,4,1,1,-5,1
2365,1,1,1,1,1,1,1,1,1,1,1,1,1
2366,1,1,7,1,1,7,7,7,1,1,1,-5,-5
2367,1,1,1,5,5,1,-5,-5,-5,-5,1,1,1
2368,5,1,2,1,1,1,1,1,1,1,1,1,1
2369,5,5,5,2,1,1,1,1,1,1,1,2,2
2370,5,1,1,1,5,1,1,1,1,1,1,1,1
2371,1,7,8,1,3,1,1,1,1,1,1,1,1
2372,2,5,3,5,3,-5,3,1,3,2,3,1,7
2373,5,5,1,5,1,1,5,5,1,1,-5,1,-5
2374,5,4,-5,-5,-5,-5,-5,-5,-5,-5,4,4,4
2375,6,8,8,8,8,8,-5,8,1,1,1,1,1
2376,1,5,5,3,5,1,8,8,8,8,1,1,1
2377,1,1,3,1,1,3,1,3,1,1,1,1,1
2378,1,1,1,1,1,1,1,2,1,1,1,1,1
2379,1,1,5,1,2,1,1,1,1,3,1,6,4
2380,1,5,8,8,8,8,8,8,8,8,1,1,1
2381,1,5,3,1,7,7,1,7,7,7,7,6,7
2382,4,1,3,1,1,1,2,1,1,-5,1,1,1
2383,8,1,5,1,5,4,3,4,7,1,1,1,1
2384,4,3,3,3,5,3,1,1,1,-5,1,3,1
2385,4,1,3,5,1,1,1,1,1,1,2,1,1
